en,fr
"This leads to oxygen depletion in the lake, and many species of invertebrates and fish then die by asphyxiation.","Il s'en suit donc une prolifération excessive d'algues dont la décomposition éventuelle provoque une activité bactérienne accrue, laquelle finit par appauvrir en oxygène l'eau du lac."
"In astronomy, light pollution is a real and pressing problem.",De nombreuses espèces d'invertébrés et de poissons meurent alors asphyxiés.
"It diminishes the contrast between the dark sky and celestial sources of light, which makes it harder to see the stars.","En astronomie, la pollution lumineuse est un réel problème : elle diminue le contraste entre le ciel noir et les astres ce qui empêche souvent de voir les étoiles."
"For the amateur astronomer, it is a major problem because access to a truly dark sky is increasingly difficult to find.","Pour l'astronome amateur, c'est un problème majeur car l'accès à un ciel obscur est de plus en plus difficile."
The increasing inaccessibility of the starry sky is unfortunate because it has become evident that amateur astronomy plays an important role in the development of scientific interest among young people.,L'inaccessibilité grandissante au ciel étoilé est malheureuse puisqu'on se rend de plus en plus compte du rôle joué par l'astronomie amateur dans le développement de l'intérêt des jeunes pour les sciences.
"In 2003, the British government even acknowledged the link between a reduced interest in the sciences and an increase in light pollution!","En 2003, le gouvernement britannique a même reconnu qu'il existait un lien entre le manque d'intérêt pour les sciences et la pollution lumineuse !"
"For professional astronomers, artificial light is undesirable because it interferes with the collection of data.","Pour les astronomes professionnels, la lumière artificielle est non souhaitable parce qu'elle gène la collecte des données."
This is why new observatories are built in isolated regions.,C'est pour cette raison que les nouveaux observatoires sont aujourd'hui installés dans des régions isolées.
"A number of amateur astronomy associations are also involved in protecting our endangered legacy, the starry night sky.","Plusieurs associations d'astronomes amateurs se sont aussi impliquées pour la protection du ciel étoilé, un patrimoine précieux aujourd'hui menacé."
"The focus of light pollution abatement programs is to change the habits of the general population, companies and urban planners so that less artificial light will be wasted or misdirected.","Les programmes élaborés misent sur un changement des habitudes de la population, des entreprises et des planificateurs urbains de façon à ce que moins de lumière artificielle soit gaspillée et dirigée vers des endroits non désirés."
The plans typically revolve around three lines of action.,Les plans d'intervention proposent généralement trois types de solution.
"The first consists of using lighting equipment that properly directs light where it is required, and not to the sides or towards the sky.",La première consiste à utiliser des appareils d'éclairage dont la lumière est dirigée là où elle est requise et non sur les cotés ou vers le ciel.
The third is to use an appropriate level of lighting and to only light when necessary.,La troisième consiste à utiliser un niveau d'éclairage convenable et à éclairer seulement quand c'est nécessaire.
Your turn to get involved!,"Alors, à vous de jouer!"
Video sequence   Hubert Reeves talks about light pollution.,Séquence vidéo  Hubert Reeves parle de ce qu'est la pollution lumineuse.
Light pollution activitie Previous © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,Activité Pollution lumineuse Précédent © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Luminous Pollution Activity Instructions Luminous pollution is 95% responsible for the disappearance of stars in the sky.,La pollution lumineuse Description et instructions La pollution lumineuse a fait disparaître 95 % des étoiles dans le ciel.
Click the different items in the drawing to see just how bad luminous pollution is for the entire planet.,Cliquez sur les différents éléments du dessin pour voir jusqu’à quel point la pollution lumineuse est néfaste pour la planète entière.
Then choose to light what is really necessary.,"Par la suite, choisissez d’éclairer ce qui est vraiment essentiel."
You will see that we waste a lot of light and energy in our cities.,Vous verrez que nous gaspillons beaucoup de lumière et d’énergie dans nos villes.
Click on:,Vous pouvez cliquer sur :
"Astronomers The Amerindians The Inuit The Amerindians Stars were an integral part of their lives Before the arrival of Europeans, the Amerindians of Canada saw the starry sky as a place full of characters and stories.","Astronomes Les Amérindiens Les Inuits Les Amérindiens Les étoiles faisaient partie intégrante de leur vie Les Amérindiens du Canada avaient, avant l'arrivée des Européens, une conception très imagée du ciel étoilé."
"Many of the peoples believed that everything found in nature was a living entity, even celestial objects like the Moon, the Sun and the stars.","Pour plusieurs peuplades, tout ce qui se trouvait dans la nature était vivant, y compris les objets célestes comme la Lune, le Soleil et les étoiles."
"In the Amerindian belief system, the Earth is flat and the celestial objects revolve around it.","Chez les Amérindiens, la Terre est plate et les objets célestes tournent autour."
"The planets in the solar system are not thought of as planets, but rather as large stars that are simply brighter than the rest.","Les planètes du système solaire ne sont pas considérées comme des planètes, mais comme de grosses étoiles plus brillantes que les autres."
The Sun and other stars are seen as lights that move across a solid celestial canopy.,"Quant au Soleil et aux étoiles, ils sont simplement vus comme des lumières qui se déplacent sur la voûte céleste, qui est solide."
"For the majority of Amerindian societies, each star is a spirit – a powerful and sacred being.","Cependant, pour la plupart des sociétés amérindiennes, chaque étoile est un être sacré puissant, un esprit."
"The Iroquois even oriented their long houses according to the four cardinal directions so that the Sun would shine onto the entrance at dawn, and set in the direction of the exit.",Les Iroquois orientaient même leurs maisons longues selon les quatre points cardinaux de façon à ce que le Soleil se lève vis-à-vis la porte d'entrée et se couche vis-à-vis celle de la sortie.
"The Amerindians grouped many of the stars into constellations, and most of these are associated with stories that serve as a lesson to youngsters.","Plusieurs étoiles étaient regroupées en constellations, la plupart étant associées à un mythe dans lequel l'histoire servait à transmettre un enseignement aux plus jeunes."
"Some of the constellations, like Pleiades or the Great Bear, were also used to mark the seasons.","Quelques constellations, comme les Pléiades ou la Grande Ourse par exemple, étaient même utilisées pour marquer les saisons."
This is the case for one of the Mi’kmaq legends of New Brunswick and Nova Scotia.,C'est le cas de cette légende Mi'kmaq du Nouveau-Brunswick et de la Nouvelle-Écosse :
"One spring day, Mother Bear woke up after hibernating through the winter.","Un jour de printemps, Mère Ourse se réveilla après avoir hiberné tout l'hiver."
"Being very hungry, she immediately began to look for food.","Ayant très faim, elle se mit immédiatement en marche dans le but de trouver de la nourriture."
"Chickadee, who was also very hungry, decided to hunt Mother Bear.","Petit Poussin, qui avait aussi très faim, l'aperçut et décida de la chasser."
"Too little to hunt on his own, he got six of his friends to help.","Étant trop petit pour chasser seul, il fit venir six de ses amis pour l'aider."
"After hunting all spring and all summer, the slowest and heaviest hunters beginning with the two owls flew lower and lower until they eventually lost the trail of Mother Bear.","Après avoir chassé tout le printemps et l'été, les chasseurs les plus lents et les plus lourds, en commençant par les deux hiboux, volèrent de plus en plus bas et perdirent éventuellement la piste de Mère Ourse."
Blue Jay and Pigeon were the next to abandon the chase.,Geai Bleu et Pigeon furent les deux prochains chasseurs à abandonner.
"Completely covered in blood, he shook himself near the trees of the forest, colouring them red.","Étant complètement taché de sang, il se secoua près des arbres de la forêt qui prirent alors la couleur rouge."
"That is why, since then, the leaves of the trees turn a vivid red colour in autumn.","C'est d'ailleurs pour cette raison que désormais, à chaque fois que l'automne arrive, les feuilles des arbres se colorent d'un rouge vif."
"As much as he tried, Robin was never able to remove all the blood that stained his chest, and he still wears his red marks today.","Malgré tous ses efforts, Rouge-Gorge fut incapable d'enlever tout le sang qui maculait sa poitrine et depuis ce temps, celle-ci arbore cette couleur."
The three friends ate Mother Bear and left her skeleton there.,Les trois amis mangèrent ensuite Mère Ourse et laissèrent son squelette sur place.
"During the winter, the spirit of Mother Bear left the sky and came to rest within another sleeping bear.","Pendant l'hiver, l'esprit de Mère Ourse quitte le ciel et vient de nouveau habiter une ourse qui dort."
The bear awoke the next spring and Chickadee and his friends hunted her too until they killed her in autumn.,La même ourse se réveille alors au printemps et la chasse de Petit Poussin et ses amis recommence jusqu'à ce que Mère Ourse soit tuée de la même façon.
The story has repeated itself every year since then.,"Depuis, l'histoire se répète ainsi d'année en année."
This legend reveals how the change in position of the Great Bear constellation in the sky serves to mark the beginning of autumn.,Cette légende montre comment la position de la Grande Ourse dans le ciel pouvait servir à marquer le début de l'automne.
The Amerindian societies in Canada used a lunar calendar of 10 months with 30 days in each month.,"Au Canada, les sociétés amérindiennes utilisaient un calendrier lunaire comptant 10 mois, avec 30 jours à chaque mois."
"Amerindian legends Dreamlike celestial stories The North Star, which remains in a fixed position in the sky, was well known to Amerindian peoples.","Légendes amérindiennes Des histoires célestes qui font rêver L'étoile polaire, qui est toujours fixe dans le ciel, était connue des Amérindiens."
The following legend describes its origin according to the Blackfoot of Alberta:,Voici une légende qui explique pourquoi il en est ainsi.
Two sisters sleeping outside woke before dawn and looked up at the sky.,Deux soeurs qui dormaient à la belle étoile se réveillèrent avant l'aube en regardant le ciel.
"One of them pointed towards the Morning Star (Venus) and said, ""That star is so beautiful, I will take it as a husband.""","L'une d'elle, pointant vers l'Étoile du Matin (Vénus), dit : « Je trouve cette étoile si belle que je la prendrais pour mari »."
"Several days later, the same young woman came across a handsome stranger in the forest while she was carrying wood.","Quelques jours plus tard, la même jeune femme rencontra un bel étranger dans la forêt alors qu'elle transportait du bois."
"He was observing her, so she asked him, ""What do you want from me?""","Voyant qu'il la regardait, elle lui demanda : « Que me veux-tu? »"
"The young man replied, ""I am Morning Star.",« Je suis Étoile du Matin.
"You wanted me as your husband, so here I am.""","Tu me voulais comme mari alors me voilà », dit le jeune homme."
He placed a feather in her hair and asked her to close her eyes.,Puis il lui mit une plume dans les cheveux et lui demanda de fermer ses yeux.
"He flew her up to the sky, into Sky Country.",Ils s'envolèrent ensuite dans le ciel jusqu'au Pays Céleste.
"""You may use this tool to harvest vegetables in our garden, but you must never touch the sacred turnip.",Lune lui donna même en cadeau une belle bêche pour déterrer des racines.
"If you do, it will bring misfortune.""",« Tu pourras ainsi cueillir des légumes dans notre jardin.
Time passed by and the woman gave birth to a baby.,"Cependant, tu ne dois pas toucher au navet sacré, sans quoi il nous arrivera malheur."
"To her surprise, she found that she could see her tribe and old home through the hole left by the turnip.","Un jour qu'elle était à l'extérieur avec l'enfant, elle se décida à déterrer le navet sacré."
"Be careful, for he must not touch the ground for 14 days or he will return to me and become a star.""","Lorsqu'Étoile du Matin sut ce qu'elle avait fait, il lui dit : « Tu dois maintenant retourner chez les tiens avec l'enfant."
"Unfortunately, what should not have happened did, and the child was forced to return to the Sky Country.","Mais attention, celui-ci ne doit pas toucher le sol durant les 14 prochains jours, sans quoi il reviendra à moi et deviendra une étoile."
"But as he tried to pass through the hole left by the sacred turnip, the child became stuck.","Malheureusement, ce qui ne devait pas arriver arriva, et l'enfant retourna au Pays Céleste par le trou laissé par le navet sacré où il resta coincé."
"And that is why, to this day, there is a star that does not move across the sky.","C'est pourquoi, encore aujourd'hui, cette étoile est toujours fixe dans le ciel."
"In some cases, the same celestial constellation is the subject of legends in more than one Amerindian society.",Certaines sociétés amérindiennes ont des légendes qui font référence aux mêmes constellations.
"For example, two tribes in Canada have stories about the constellation Pleiades.",En voici deux qui se rapportent aux Pléiades.
This one is from the Iroquois of Ontario.,La première provient des Iroquois de l'Ontario :
"Many years ago, an Iroquois tribe began the trek toward their winter hunting grounds near a large lake in southeastern Canada.","Il y a plusieurs années, une tribu iroquoise se mit en marche vers ses terrains de chasse hivernaux situés près d'un grand lac dans le sud-est du Canada."
"Upon their arrival, tribe members hurried to set up camp and tackle their chores.","Une fois arrivé, chacun s'empressa d'établir le campement et se mit à remplir ses tâches."
"Eight children, tired of helping their parents, would gather together each day away from the tribe to dance for several hours.","Huit enfants, fatigués d'aider leurs parents, prirent l'habitude de se réunir chaque jour à l'écart pour y danser pendant des heures."
"He was covered from head to toe with a coat of shiny white feathers and said to them, ""If you do not stop, misfortune will come your way.""","Un jour, un vieil homme couvert de la tête aux pieds d'un manteau de plumes blanches brillantes apparut et leur dit : « Si vous n'arrêtez pas, il vous arrivera malheur."
The children did not listen and continued to take longer and longer breaks during which they never stopped dancing.,Les enfants ne l'écoutèrent pas et continuèrent à faire des pauses de plus en plus longues où ils ne cessaient de danser.
"Day after day, the old man came to warn them until one evening, the children suddenly found themselves rising up into the air.","Jour après jour, le vieil homme vint les avertir jusqu'à ce qu'un soir, les enfants se mirent subitement à s'élever dans les airs."
"The old man shook his head and thought, ""If only they would have listened to me.""",Le vieil homme secoua la tête et pensa: « Si seulement ils m'avaient écouté ».
"Not long after, the people of the village saw the children floating high in the sky.","Peu de temps après, les gens du village s'aperçurent que les enfants flottaient très haut dans le ciel."
"One of the children recognized his Father’s voice and stopped dancing, but quickly fell like a shooting star to the ground.","Un des enfants reconnut la voix de son père et cessa de danser, mais tomba comme une étoile filante vers le sol."
Seven brothers living alone in the Northern Plains passed their time looking for their parents.,Sept frères vivant seuls dans les Plaines du Nord passaient leur existence à rechercher leurs parents.
"Always on the move, they were looking for food and a new shelter to sleep in.","Toujours en déplacement, ils devaient continuellement trouver de la nourriture et un nouvel abri pour dormir."
"Tired of such a miserable life, the youngest among them, who was playing with a spider’s web, said, ""Why not transform ourselves into something else?","Fatigué d'une telle vie misérable, le plus jeune d'entre eux, qui jouait avec une toile d'araignée, dit : « Pourquoi ne pas nous transformer en quelque chose d'autre?"
"""Don’t be stupid,"" another replied.","« Ne soit pas stupide », dit un autre."
"""Rocks can be broken.""",« Les rochers peuvent se briser.
"""What about trees?",»
"Trees don’t break – they bend with the wind,"" said one of the brothers.","« Les arbres ne se brisent pas, ils plient avec le vent » ajouta un des frères."
"""Even the greatest trees can be uprooted by wind and storms,"" argued another.","« Même les grands arbres sont emportés par le vent et les tempêtes », rétorqua un autre."
"""Why not take on the form of Night?",« Pourquoi ne pas prendre la forme de la nuit?
"Night is never destroyed!"" exclaimed one of the brothers.","La nuit n'est jamais détruite! », dit un des frères."
"""Night is scared of light, and runs away when Day arrives,"" replied another.","« La nuit a peur de la lumière et fuit lorsque le jour arrive », dit un autre."
"""Then why not change into stars?"" asked the wisest of the brothers.","« Alors pourquoi ne pas se transformer en étoiles? », dit le plus sage des frères."
"""They live in the sky and never die.""",« Elles habitent le ciel et ne meurent jamais.
The seven brothers thought that was the best idea.,Les sept frères trouvèrent qu'il s'agissait là de la meilleure idée.
The youngest helped each of his brothers climb into the sky using the spider’s web.,Le plus jeune des frères disposa alors chacun de ses frères dans le ciel à l'aide de la toile d'araignée.
"He put three of them to his left, and three to his right.","Il en plaça trois à sa droite et trois à sa gauche, puis il prit place au milieu."
"He then took his place in the middle, and there they remain to this day.",Ils y sont tous encore aujourd'hui.
Astronomers The Amerindians The Inuit The Inuit Their knowledge of the stars helped them navigate in a hostile environment where reference points are few and far between The Inuit peoples living in the Canadian Far North can view the dark night sky continuously for long periods of time.,Astronomes Les Amérindiens Les Inuits Les Inuits Leur connaissance des étoiles leur servait surtout à s'orienter dans un environnement hostile où les points de repères étaient rares Les peuples inuits vivant dans le Grand Nord canadien ont accès au ciel noir pendant de longues périodes continues.
"At the North Pole, for example, the Sun rises and sets only once each year.","Au Pôle Nord, par exemple, le Soleil se lève et se couche une seule fois par année."
"Contrary to popular belief, however, the polar night does not last for six months each year; instead, it lasts for four and a half months.","Contrairement à la croyance populaire, la nuit polaire ne dure pas six mais quatre mois et demi par année."
"The difference is due to the tilt of the Earth, which causes dawn and twilight to last for several weeks at the poles, thus shortening the duration of the true polar night by six weeks each year.","En effet, l'inclinaison de la Terre fait en sorte que l'aube et le crépuscule s'étirent sur plusieurs semaines au Pôle, ce qui réduit la durée de la nuit de six semaines par an."
"Nonetheless, four and a half months is still a remarkably long night, and one might think that the peoples of the Arctic would have built up an extensive astronomical knowledge base.","Avec des nuits si longues, on pourrait penser que les peuples de l'Arctique ont amassé des connaissances approfondies en astronomie."
"This, however, does not appear to have been the case.",Il n'en est cependant rien.
"The time during which the northern peoples have access to the starry night sky is actually much shorter than four and a half months, even for the Inuit who live closest to the North Pole.","La durée pendant laquelle les peuples nordiques ont accès au ciel étoilé est en fait beaucoup plus courte que quatre mois et demi, même pour les Inuits vivant loin du Pôle."
Clouds and aurora borealis also mask the stars.,Les nuages et les aurores boréales contribuent également à cacher les étoiles.
"Finally, the intense nighttime cold makes observation physically difficult.","Enfin, le froid intense rend les nuits d'observation plutôt difficiles."
"As such, the Inuit have only two and a half months per year to observe the starry sky if we take into account the presence of the Moon, and only two months per year if we take into account the other factors.","Ainsi, les Inuits n'ont accès au ciel étoilé que pendant au plus deux mois et demi par année, si on tient compte de la présence de la Lune, et à seulement deux mois par année, si on tient compte des autres facteurs."
"All in all, the peoples of the North have difficult conditions to deal with and only a short period of time for studying the stars.","En résumé, en plus de composer avec des conditions difficiles, les peuples du Nord disposent donc de peu de temps pour étudier les étoiles."
The ancient Inuit believed the Earth (Nunarjuaq in the Inuktitut language) to be a flat and stationary body around which celestial objects revolved.,"Pour les anciens Inuits, la Terre (Nunarjuaq en langue inuktitut) est plate, stationnaire et les objets célestes tournent autour."
It occupied the centre of their universe.,Elle occupe aussi le centre de l'Univers.
"The Moon (Taqqiq) was seen as a flat disk of ice, and the Sun (Siqniq) as a ball of fire.","La Lune (Taqqiq) est un disque de glace plat et le Soleil (Siqniq), une boule de feu."
The disappearance of the Sun below the horizon for several months was taken as a sign that the cold and frost of winter had weighed it down so much that it could no longer lift itself into the sky.,"Si l'astre solaire disparaît sous l'horizon pendant plusieurs mois, c'est que pendant l'hiver, le froid et le givre l'appesantissent au point où il ne peut plus se lever dans le ciel."
"The planets of the solar system were seen as large stars, and the distant stars as holes in the celestial dome.","Les planètes du système solaire, quant à elles, sont considérées comme de grosses étoiles et les étoiles, comme des trous dans la voûte céleste."
"Interestingly, the existence of the North Star – the polar star that remains in a fixed position in the sky and around which all the other stars appear to revolve – appears to have been unknown to the peoples of the North.","Fait étrange cependant, l'existence de l'étoile polaire, cette étoile qui demeure toujours fixe dans le ciel et autour de laquelle tous les objets célestes semblent tourner, était inconnue des peuples du Nord."
Only 33 stars were familiar to the ancient Inuit and only six or seven of them were given names.,Seulement 33 étoiles étaient familières aux anciens Inuits et uniquement 6 ou 7 portaient un nom.
Among them were several that were used for navigation during their travels.,"Parmi elles, quelques-unes leur servaient à s'orienter lors des déplacements."
"As for the other stars, they were grouped into 16 constellations, most of which were associated with myths in which humans and animals played central roles.","Quant aux autres étoiles, elles étaient regroupées en 16 constellations, la plupart étant associées à un mythe où humains et animaux occupaient les rôles principaux."
Four men were hunting a bear.,Quatre hommes poursuivaient un ours.
The bear escaped by climbing into the sky and the hunters decided to follow it.,Celui-ci finit par fuir en grimpant dans le ciel et les chasseurs décidèrent de le suivre.
"As they climbed higher and higher, one of the Inuit lost a mitten and decided to return to Earth to fetch it.","Au fur et à mesure qu'ils montaient de plus en plus haut, un des Inuits échappa une de ses mitaines et décida de retourner sur Terre pour la chercher."
The other hunters continued their hunt in the sky and we can still see them today climbing after the bear in single file.,"Les autres chasseurs continuèrent leur poursuite dans le ciel et on peut encore les voir aujourd'hui, l'un derrière l'autre, poursuivre l'ours."
"The Inuit measure the passage of time by using the arrival of the full moon, and their lunar calendar thus has 13 months.","L'année débutait à des moments différents pour les différentes sociétés inuites, tout dépendant de leur latitude sur le globe."
"The year begins at different times for each Inuit society depending on their latitude, although the signal that marks the New Year is the same for each tribe: it is the moment when the Sun reappears above the horizon after the long polar night.","Le signal marquant la nouvelle année était cependant le même pour toutes les tribus : c'était le moment où, après la longue nuit polaire, le Soleil apparaissait à nouveau au-dessus de l'horizon; ce qui se produit à des dates différentes selon la position des Inuits dans le Grand Nord."
"This, of course, explains why the timing varies according the tribe’s northern location.","Légendes inuites Une mythologie où la Lune occupe une place importante Les légendes inuites sont, comme les légendes amérindiennes, très imagées."
One such story from the Inuit of the Canadian Central Arctic tells how light first appeared on Earth:,"Au début, tout était obscurité et il n'y avait pas de lumière sur Terre."
"In the beginning, darkness was everywhere.","Il était impossible de voir le sol, les animaux et les hommes."
"There was no light on Earth, and it was not possible to see the ground, the animals or humans.","Fait étrange, un animal pouvait se transformer en homme et un homme en animal."
"Strangely enough, however, an animal could transform into a human, and a human into an animal.","Il y avait différents animaux comme des ours, des lièvres et des renards."
"There were several different animals, like bears, hares and foxes, but when these animals became human, they all became the same: they spoke the same language, lived in the same style of home, and hunted the same way.","Cependant, au moment où ceux-ci se transformaient en hommes, ils devenaient tous identiques : ils parlaient la même langue, habitaient le même genre de maison et chassaient de la même manière."
It was during this time that magic words were created.,C'est à cette époque que les mots magiques furent créés.
"A word mentioned casually during a conversation could suddenly acquire magical powers, and nobody could explain how or why.","Un mot dit au hasard d'une conversation pouvait subitement acquérir un pouvoir magique, sans que personne ne puisse expliquer comment."
"One day, a fox and a hare were having an argument.","Un jour, une conversation s'engagea entre un renard et un lièvre."
"The fox kept repeating ""Darkness!"" because he liked the way he could use the dark to steal the hunting catches of the humans.",Le renard répétait sans cesse le mot « Obscurité! » car il aimait celle-ci puisqu'elle lui permettait de voler les prises des humains.
"The hare, on the other hand, kept repeating ""Daylight!"" because he needed light to help him find food.","Le lièvre, pour sa part, répétait le mot « Jour! », car celui-ci l'aiderait à se trouver un endroit où se nourrir."
"Since then, night and day take turns shining over Earth, and the fox and the hare take turns finding food as well.","Depuis ce jour, la nuit et le jour alternent sur Terre, le renard et le lièvre y trouvant son compte à tour de rôle."
"For the Inuit, the Sun is generally seen as a woman, and the Moon as a man.","Chez les Inuits, le Soleil est en général associé à une femme et la Lune à un homme."
"A long time ago, after the World was created, a great shaman acquired such strong powers that he went to live in the sky.","Il y a très longtemps, après la création du monde, un puissant magicien acquit un si grand pouvoir qu'il parvint à se hisser dans les cieux."
"The brother and sister lived in harmony for a long time until a great disagreement arose between them and the brother hit the sister, marking her face with a disfiguring burn.","Le frère et la sœur vécurent longtemps en harmonie jusqu'au jour où la discorde s'installa entre eux et que le frère en vint aux coups, marquant le visage de sa sœur d'une brûlure qui la défigura."
The young woman left her brother to take refuge elsewhere in the sky where she became the Moon.,La jeune femme quitta alors son frère pour se réfugier dans les cieux où elle devint la Lune.
"Since then, the brother and his fire have followed her, trying to reach her, but never succeeding.","Depuis ce jour, il ne cesse de la poursuivre avec son feu sans jamais pouvoir l'atteindre."
The following is one example from the Inuit of Canada’s Eastern Arctic:,En voici une qui nous parvient des Inuits de l'est de l'Arctique canadien :
A powerful angakoq (shaman) decided to visit the Moon.,Un puissant angakoq (sorcier) décida d'aller visiter la Lune.
"At his request, his hands were tied with a leather cord and the lamps in his home were extinguished.","À sa demande, on lui attacha les mains avec une lanière de cuir puis on éteignit les lampes de sa hutte."
"The shaman then prayed to his tormaq (spirit guide) to transport him to the Moon, and the spirit complied.","Le sorcier pria ensuite son tormaq (esprit protecteur) afin qu'il le transporte vers la Lune, ce qui se produisit dans l'instant."
"Once he arrived, he realized that the Moon was a house.","Une fois arrivé, le sorcier comprit que la Lune était une maison."
"He entered and saw a beautiful woman, the Sun, to his left who asked him to put out the lamp in front of her.","Il y entra et vit sur la gauche une très belle femme, le Soleil, qui s'empressa d'éteindre la lampe située devant elle."
"It is important that you do not laugh, or misfortune will come your way.""",Il est important de ne pas rire sans quoi il t'arrivera malheur ».
The couple began to dance before the shaman.,Le couple se mit alors à danser et le sorcier à regarder.
"To his great surprise, he saw that the Sun-Woman had no back, no spine and no entrails; only a heart and lungs occupied her chest.","À sa grande surprise, il constata que la Femme-Soleil n'avait pas de dos, de colonne vertébrale et d'entrailles; seuls un cœur et des poumons occupaient sa cage thoracique."
The dance was very strange and the faces made by the couple so peculiar that the shaman ran away lest he should laugh.,"La danse était si étrange et les grimaces du couple si drôles, que le sorcier prit la fuite, car il avait peine à ne pas rire."
"Soon after, the shaman decided to return to the house, determined not to laugh.","Peu après, le sorcier se décida à retourner dans la maison et parvint à ne pas rire."
"Once the dance had ended, the Moon-Man graciously welcomed him and invited him to visit his home.","Une fois la danse terminée, l'Homme-Lune le reçut avec hospitalité et lui fit visiter sa maison."
"In one room, the shaman saw large herds of deer that roamed over vast plains.","Dans une pièce, il vit de grands troupeaux de cervidés qui se baladaient dans de vastes plaines."
"In another room, he saw many pods of seals swimming in the ocean.","Dans une autre pièce, il vit de nombreux phoques nager dans un océan."
The Moon-Man let the shaman choose one of each as a gift.,L'Homme-Lune le laissa en choisir un de chaque et les lui donna.
The shaman told them his story of what he had seen on the Moon.,Le sorcier raconta alors tout ce qu'il avait vu lors de son voyage sur la Lune.
The Moon-Man is often seen as a strong and fair spirit.,L'Homme-Lune est souvent vu comme un esprit fort et juste.
This legend from the Inuit of Labrador is one such example:,Cette légende des Inuits du Labrador en fait foi :
A young orphan lived with a family that treated him badly.,Un jeune orphelin vivait dans une famille qui le traitait mal.
He slept in the entrance tunnel with the dogs and ate only leftovers.,Il dormait dans le tunnel d'entrée avec les chiens et ne mangeait que des restes.
Only the youngest of the Girls in the home treated him well.,Seule la plus jeune des filles de la maison le traitait bien.
"One night, while he lay on the ground staring up at the Moon, he thought of ways to escape.","Une nuit, alors qu'il était étendu sur le sol à regarder la Lune, il réfléchit à un moyen de s'évader."
"The more he stared at the Moon, the more convinced he became the he was staring at a human face.","Or, plus il fixait la Lune, plus il avait l'impression d'y voir un visage humain."
He was so certain the face was real that he pleaded to the Moon-Man to help him escape.,"Une fois convaincu de l'existence du visage, il pria l'Homme-Lune de venir l'aider à s'échapper."
The Moon-Man heard him and descended to Earth.,L'Homme-Lune l'entendit et descendit sur Terre.
He took the young orphan with him onto the beach where he flogged him with a whip.,Il prit le jeune orphelin avec lui et l'amena sur la plage où il le flagella avec un fouet.
"With each crack of the whip across his body, the boy became stronger and bigger.","À chaque coup qu'il recevait, le garçon devenait de plus en plus grand et fort."
"In the morning, the boy returned to the house and struck down all those who had been cruel to him, with the exception of the kind young Girl.","Le matin venu, le garçon retourna à la maison et terrassa tous ceux qui avaient été méchants avec lui à l'exception de la jeune fille qui le traitait bien."
"She became his wife, and he became the leader of the village.","Elle devint sa femme et lui, le chef du village."
"After all, it is only natural for humans to wonder how far our planet lies from the Moon, the Sun and other celestial bodies.","Ainsi, très tôt dans l’Histoire, on s’est demandé à quelle distance de la Terre se trouvait la Lune, le Soleil et les autres astres."
The ancients believed that this distance was not very far at all: they saw the stars as being fixed upon a nearby celestial dome.,"Avec le temps, les astronomes ont découvert que l’Univers est toujours plus grand qu’on ne l’imagine."
"Over the course of time, however, astronomers began to realize that the size of the Universe is much greater than anyone had ever imagined.","Alors que les Anciens croyaient que les étoiles étaient fixées sur une voûte céleste pas si lointaine, les astronomes d'aujourd'hui savent que l’Univers est si grand que ses frontières sont inconnues."
Today we know it is so big its limits remain unknown.,Au IIIe siècle av.
"In the 3rd century B.C., the Greek astronomer Aristarchus of Samos calculated the Earth–Moon and Earth–Sun distances using the angle between the Moon and the Sun at the first quarter moon.","J.-C., l’astronome grec Aristarque de Samos tenta de déterminer le rapport entre la distance Terre-Lune et la distance Terre-Soleil au moyen de l’angle de visée entre la Lune et le Soleil au moment du premier quartier de Lune."
His method—based on imprecise data available at the time—estimated that the distance to the Sun is about 20 times the distance to the Moon.,"Sa méthode, basée sur des données imprécises, lui indiqua que le Soleil devait être environ 20 fois plus éloigné de la Terre que la Lune."
"Although we now know that the Sun is really about 400 times the distance to the Moon, Aristarchus’ estimate was nonetheless revolutionary because it suggested that the Sun was much more distant than previously believed.","Même si on sait aujourd'hui que le Soleil est environ 400 fois plus loin que la Lune, ce résultat était néanmoins révolutionnaire pour l’époque puisqu’il permettait d’établir que le Soleil est beaucoup plus gros et éloigné qu'on ne le pensait auparavant."
"Several decades later, another Greek astronomer, Hipparcus of Nicea, performed an amazing scientific feat by calculating the Earth–Moon distance with an error of less than 10%.","Quelques décennies plus tard, un autre astronome grec, Hipparque de Nicée, réussit un véritable exploit scientifique en estimant la distance Terre-Lune avec une erreur de moins de 10%."
"He did this using the time it takes for the Moon to pass through the shadow of the Earth during a lunar eclipse, and by applying his own ingenious geometric calculations.",C’est au moyen du temps que met la Lune à traverser l’ombre de la Terre lors d’une éclipse de Lune et de calculs géométriques ingénieux qu’il parvint à ce résultat.
"Hipparcus also relied on the work of Eratosthenes of Cyrene who had fairly accurately estimated the diameter of the Earth to be 42,000 km (the real diameter is about 40,000 km).","Il se basa aussi sur les travaux d’Eratosthène qui, antérieurement, avait quant à lui réussi à estimer le diamètre de la Terre à 42 000 km (le diamètre réel est de 40 000 km)."
